observation_date,PCE_PCH
1989-02-01,0.12343
1989-03-01,0.30963
1989-04-01,1.26329
1989-05-01,0.24838
1989-06-01,0.41669
1989-07-01,0.53552
1989-08-01,0.97331
1989-09-01,0.03591
1989-10-01,0.32303
1989-11-01,0.26695
1989-12-01,1.12261
1990-01-01,1.26215
1990-02-01,-0.06701
1990-03-01,0.71616
1990-04-01,0.40214
1990-05-01,0.15385
1990-06-01,0.76010
1990-07-01,0.45210
1990-08-01,0.69603
1990-09-01,0.56648
1990-10-01,0.01292
1990-11-01,0.03359
1990-12-01,-0.27377
1991-01-01,-0.52573
1991-02-01,0.66910
1991-03-01,1.19740
1991-04-01,-0.15078
1991-05-01,0.66801
1991-06-01,0.18560
1991-07-01,0.64713
1991-08-01,0.07816
1991-09-01,0.39304
1991-10-01,-0.21834
1991-11-01,0.69416
1991-12-01,0.42212
1992-01-01,1.59682
1992-02-01,0.36233
1992-03-01,0.42688
1992-04-01,0.35220
1992-05-01,0.65110
1992-06-01,0.44969
1992-07-01,0.66314
1992-08-01,0.38290
1992-09-01,0.81499
1992-10-01,0.69090
1992-11-01,0.36875
1992-12-01,0.83479
1993-01-01,0.09916
1993-02-01,0.33635
1993-03-01,-0.06429
1993-04-01,0.93969
1993-05-01,0.66008
1993-06-01,0.39797
1993-07-01,0.65090
1993-08-01,0.27300
1993-09-01,0.67840
1993-10-01,0.47213
1993-11-01,0.46991
1993-12-01,0.37329
1994-01-01,0.30627
1994-02-01,1.03596
1994-03-01,0.28925
1994-04-01,0.54025
1994-05-01,-0.03425
1994-06-01,0.84377
1994-07-01,0.24847
1994-08-01,0.88972
1994-09-01,0.26036
1994-10-01,0.79372
1994-11-01,0.26387
1994-12-01,0.33156
1995-01-01,0.19828
1995-02-01,-0.00825
1995-03-01,0.71328
1995-04-01,0.09825
1995-05-01,0.87726
1995-06-01,0.90004
1995-07-01,-0.14666
1995-08-01,0.70621
1995-09-01,0.30368
1995-10-01,-0.13146
1995-11-01,0.83169
1995-12-01,0.82878
1996-01-01,-0.23149
1996-02-01,0.92613
1996-03-01,0.78904
1996-04-01,0.67075
1996-05-01,0.30338
1996-06-01,0.11486
1996-07-01,0.42258
1996-08-01,0.43984
1996-09-01,0.40948
1996-10-01,0.60227
1996-11-01,0.42601
1996-12-01,0.51203
1997-01-01,0.60425
1997-02-01,0.42320
1997-03-01,0.37173
1997-04-01,0.09351
1997-05-01,0.01649
1997-06-01,0.62269
1997-07-01,0.99378
1997-08-01,0.68844
1997-09-01,0.26311
1997-10-01,0.64266
1997-11-01,0.41506
1997-12-01,0.54760
1998-01-01,-0.03865
1998-02-01,0.59579
1998-03-01,0.46298
1998-04-01,0.65736
1998-05-01,0.86039
1998-06-01,0.57898
1998-07-01,0.31166
1998-08-01,0.59423
1998-09-01,0.68523
1998-10-01,0.55652
1998-11-01,0.27672
1998-12-01,0.91598
1999-01-01,0.05601
1999-02-01,0.41654
1999-03-01,0.55417
1999-04-01,1.08430
1999-05-01,0.52585
1999-06-01,0.45250
1999-07-01,0.43608
1999-08-01,0.70456
1999-09-01,0.86230
1999-10-01,0.38988
1999-11-01,0.58178
1999-12-01,1.43130
2000-01-01,0.02905
2000-02-01,1.25938
2000-03-01,0.92373
2000-04-01,-0.11067
2000-05-01,0.45815
2000-06-01,0.55442
2000-07-01,0.32015
2000-08-01,0.50676
2000-09-01,1.26125
2000-10-01,0.07549
2000-11-01,0.23209
2000-12-01,0.61362
2001-01-01,0.50631
2001-02-01,0.20609
2001-03-01,-0.07284
2001-04-01,0.10719
2001-05-01,0.69387
2001-06-01,0.23962
2001-07-01,0.17823
2001-08-01,0.55632
2001-09-01,-1.61057
2001-10-01,2.93849
2001-11-01,-0.42424
2001-12-01,-0.21720
2002-01-01,0.24977
2002-02-01,0.56510
2002-03-01,0.25190
2002-04-01,0.95397
2002-05-01,-0.32274
2002-06-01,0.46097
2002-07-01,0.88494
2002-08-01,0.34248
2002-09-01,-0.28465
2002-10-01,0.59122
2002-11-01,0.38466
2002-12-01,0.75163
2003-01-01,0.28458
2003-02-01,0.09680
2003-03-01,0.83327
2003-04-01,0.30217
2003-05-01,0.20696
2003-06-01,0.64442
2003-07-01,0.74549
2003-08-01,1.22599
2003-09-01,0.02038
2003-10-01,0.17444
2003-11-01,0.70163
2003-12-01,0.35089
2004-01-01,0.71317
2004-02-01,0.41588
2004-03-01,0.72633
2004-04-01,0.10372
2004-05-01,0.85480
2004-06-01,-0.23115
2004-07-01,0.97210
2004-08-01,0.42127
2004-09-01,0.84506
2004-10-01,0.66655
2004-11-01,0.56448
2004-12-01,0.70934
2005-01-01,-0.07878
2005-02-01,0.72255
2005-03-01,0.45916
2005-04-01,0.93041
2005-05-01,-0.07836
2005-06-01,0.94331
2005-07-01,1.14698
2005-08-01,-0.04179
