observation_date,FDHBFIN,FDHBFIN_CCA,FDHBFIN_CCH,FDHBFIN_CH1,FDHBFIN_CHG,FDHBFIN_LOG,FDHBFIN_PC1,FDHBFIN_PCA,FDHBFIN_PCH,FDHBFRBN,FDHBFRBN_CCA,FDHBFRBN_CCH,FDHBFRBN_CH1,FDHBFRBN_CHG,FDHBFRBN_LOG,FDHBFRBN_PC1,FDHBFRBN_PCA,FDHBFRBN_PCH,FDHBPIN,FDHBPIN_CCA,FDHBPIN_CCH,FDHBPIN_CH1,FDHBPIN_CHG,FDHBPIN_LOG,FDHBPIN_PC1,FDHBPIN_PCA,FDHBPIN_PCH,FYGFDPUN,FYGFDPUN_CCA,FYGFDPUN_CCH,FYGFDPUN_CH1,FYGFDPUN_CHG,FYGFDPUN_LOG,FYGFDPUN_PC1,FYGFDPUN_PCA,FYGFDPUN_PCH
2004-01-01,1670.0,36.83036,9.20759,394.8,146.9,7.42058,30.95985,44.52807,9.64480,674.100,4.41532,1.10383,32.600,7.400,6.51338,5.08184,4.51425,1.10994,3502.8,14.52337,3.63084,432.8,124.9,8.16132,14.09772,15.63098,3.69756,4176667,12.90636,3.22659,465888,132613,15.24502,12.55499,13.77625,3.27921
2004-04-01,1735.4,15.36572,3.84143,363.5,65.4,7.45899,26.49610,16.60911,3.91617,687.400,7.81516,1.95379,35.300,13.300,6.53292,5.41328,8.12866,1.97300,3531.5,3.26402,0.81601,366.8,28.7,8.16948,11.59036,3.31788,0.81934,4218734,4.00861,1.00215,402455,42067,15.25505,10.54574,4.09004,1.00719
2004-07-01,1794.5,13.39540,3.34885,351.2,59.1,7.49248,24.33313,14.33402,3.40555,700.300,7.43698,1.85925,44.200,12.900,6.55151,6.73678,7.72051,1.87664,3607.1,8.47257,2.11814,339.2,75.6,8.19066,10.37975,8.84184,2.14073,4303366,7.94497,1.98624,379321,84632,15.27491,9.66658,8.26911,2.00610
2004-10-01,1849.3,12.03230,3.00808,326.2,54.8,7.52256,21.41685,12.78611,3.05378,717.800,9.87287,2.46822,51.100,17.500,6.57619,7.66462,10.37668,2.49893,3690.5,9.14313,2.28578,312.6,83.4,8.21352,9.25427,9.57415,2.31211,4406352,9.45985,2.36496,362298,102986,15.29856,8.95878,9.92174,2.39315
2005-01-01,1952.0,21.61892,5.40473,282.0,102.7,7.57661,16.88623,24.13372,5.55345,717.300,-0.27873,-0.06968,43.200,-0.500,6.57549,6.40854,-0.27834,-0.06966,3855.0,17.44362,4.36091,352.2,164.5,8.25713,10.05481,19.05748,4.45739,4572397,14.79618,3.69904,395730,166045,15.33555,9.47478,15.94686,3.76831
2005-04-01,1878.0,-15.45884,-3.86471,142.6,-74.0,7.53796,8.21713,-14.32323,-3.79098,724.700,4.10545,1.02636,37.300,7.400,6.58576,5.42624,4.19088,1.03165,3803.0,-5.43231,-1.35808,271.5,-52.0,8.24355,7.68795,-5.28740,-1.34890,4527630,-3.93558,-0.98390,308896,-44767,15.32571,7.32201,-3.85914,-0.97907
2005-07-01,1930.0,10.92505,2.73126,135.5,52.0,7.56528,7.55085,11.54417,2.76890,736.400,6.40627,1.60157,36.100,11.700,6.60177,5.15493,6.61592,1.61446,3865.0,6.46858,1.61715,257.9,62.0,8.25972,7.14979,6.68238,1.63029,4601378,6.46288,1.61572,298012,73748,15.34187,6.92509,6.67630,1.62884
2005-10-01,2034.0,20.99372,5.24843,184.7,104.0,7.61776,9.98756,23.36006,5.38860,744.200,4.21455,1.05364,26.400,7.800,6.61231,3.67790,4.30462,1.05921,3971.0,10.82251,2.70563,280.5,106.0,8.28677,7.60060,11.42985,2.74256,4714607,9.72390,2.43097,308255,113229,15.36618,6.99570,10.21237,2.46076
2006-01-01,2082.1,9.34908,2.33727,130.1,48.1,7.64113,6.66496,9.80005,2.36480,758.500,7.61319,1.90330,41.200,14.300,6.63134,5.74376,7.91049,1.92153,4114.0,14.15114,3.53778,259.0,143.0,8.32215,6.71855,15.20136,3.60111,4872804,13.20159,3.30040,300407,158197,15.39918,6.57001,14.11265,3.35547
2006-04-01,1977.8,-20.55675,-5.13919,99.8,-104.3,7.58974,5.31416,-18.58149,-5.00937,766.400,4.14457,1.03614,41.700,7.900,6.64170,5.75411,4.23166,1.04153,4030.8,-8.17237,-2.04309,227.8,-83.2,8.30172,5.99001,-7.84735,-2.02236,4797450,-6.23401,-1.55850,269820,-75354,15.38360,5.95941,-6.04367,-1.54642
