"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2017","11.28","9.79","14.51","8.56","","10.81%"
"10/01/2017","10.18","9.59","13.20","9.11","","7.05%"
"09/01/2017","9.51","10.33","14.06","9.36","","-10.20%"
"08/01/2017","10.59","10.19","17.28","9.52","","3.22%"
"07/01/2017","10.26","11.07","13.05","8.84","","-8.23%"
"06/01/2017","11.18","10.42","15.16","9.37","","7.40%"
"05/01/2017","10.41","10.92","16.30","9.56","","-3.79%"
"04/01/2017","10.82","12.59","16.28","10.22","","-12.53%"
"03/01/2017","12.37","12.31","15.11","10.60","","-4.26%"
"02/01/2017","12.92","11.79","12.96","9.97","","7.76%"
"01/01/2017","11.99","14.07","14.07","10.30","","-14.60%"
"12/01/2016","14.04","13.40","14.72","10.93","","5.33%"
"11/01/2016","13.33","16.54","23.01","12.16","","-21.86%"
"10/01/2016","17.06","13.75","17.95","12.21","","28.37%"
"09/01/2016","13.29","13.07","20.51","11.65","","-0.97%"
"08/01/2016","13.42","11.89","14.93","11.02","","13.06%"
"07/01/2016","11.87","15.59","17.04","11.40","","-24.06%"
"06/01/2016","15.63","14.45","26.72","12.72","","10.15%"
"05/01/2016","14.19","16.33","17.65","13.04","","-9.62%"
"04/01/2016","15.70","15.23","17.09","12.50","","12.54%"
"03/01/2016","13.95","19.84","20.17","13.06","","-32.12%"
"02/01/2016","20.55","21.32","30.90","18.38","","1.73%"
"01/01/2016","20.20","22.48","32.09","19.25","","10.93%"
"12/01/2015","18.21","15.61","26.81","14.45","","12.90%"
"11/01/2015","16.13","15.41","20.67","13.67","","7.03%"
"10/01/2015","15.07","23.14","25.23","12.80","","-38.49%"
"09/01/2015","24.50","31.91","33.82","17.87","","-13.82%"
"08/01/2015","28.43","12.85","53.29","10.88","","134.57%"
"07/01/2015","12.12","16.63","20.05","11.71","","-33.52%"
"06/01/2015","18.23","13.92","19.80","11.93","","31.72%"
"05/01/2015","13.84","13.98","16.36","11.82","","-4.88%"
"04/01/2015","14.55","15.32","16.66","12.12","","-4.84%"
"03/01/2015","15.29","13.90","17.19","12.54","","14.62%"
"02/01/2015","13.34","20.89","22.81","12.86","","-36.39%"
"01/01/2015","20.97","17.76","23.43","15.52","","9.22%"
"12/01/2014","19.20","14.16","25.20","11.53","","44.04%"
"11/01/2014","13.33","14.41","15.93","11.91","","-4.99%"
"10/01/2014","14.03","16.44","31.06","13.72","","-13.98%"
"09/01/2014","16.31","12.32","17.08","11.52","","36.14%"
"08/01/2014","11.98","16.67","17.57","11.24","","-29.32%"
"07/01/2014","16.95","11.28","17.11","10.28","","46.50%"
"06/01/2014","11.57","11.69","12.89","10.34","","1.49%"
"05/01/2014","11.40","13.64","14.49","11.32","","-14.99%"
"04/01/2014","13.41","13.43","17.85","12.60","","-3.39%"
"03/01/2014","13.88","16.47","18.22","13.46","","-0.86%"
"02/01/2014","14.00","18.57","21.48","13.44","","-23.95%"
